Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196303,14.79123515,5.9642486,8.104486535,11.55258135,17.17608028,3.136646561,5.039587232,6.334693005,9.793816495,12.47150156,2.323035251,5.938022066,5.378338345,9.931050681,12.21002764,4.071548099,5.277387052,7.934469883,12.12963705,10.42953815,5.635931173,5.260770085,5.975237831,11.13847907,9.696241514
196306,12.44037572,1.987142661,3.554003239,4.876657442,9.790358319,4.445538489,6.311403932,-0.568880782,7.273353162,8.922382427,4.620696038,5.379562333,3.795741382,5.442459802,10.27868927,4.528782288,3.502405392,4.140593792,8.23497979,10.12852624,4.721172385,2.796459432,7.101909975,4.670990699,14.29109152
196309,2.36518205,2.044869139,0.777662329,0.861948291,2.921653499,-0.625403696,3.305234838,2.818499361,1.158431036,3.828746628,-1.783936769,2.06837316,4.112931781,2.153315556,1.383312119,1.694807045,0.901194909,2.106858065,1.981234073,1.328998908,4.465868031,3.886263275,5.019086608,7.472844714,1.530990438
196312,-4.44555093,-5.783245701,-1.27091129,-2.576910324,0.236499798,-3.704353177,1.524012193,2.792226859,3.007575767,3.941672085,-0.386447905,0.514713933,3.064084741,3.022630063,0.309229853,-1.419892656,1.213383081,3.605539392,9.889176948,10.5780859,6.731828163,5.101395822,0.417389442,2.752024519,4.007693553
196403,7.581340334,7.436298122,8.9835528,8.133555624,12.68638163,2.099493149,4.35737144,9.961577486,9.516340544,17.39780315,-0.346272371,6.548687752,8.920047859,14.04268549,14.6075736,4.246076219,6.263371483,9.690292877,19.08046202,8.881111378,6.188276759,4.480606603,6.59733461,10.14581688,5.592917969
196406,-0.89664874,1.7911104,1.338643551,0.232294221,1.72249757,3.239768335,-2.107968068,5.239878566,1.348472697,5.336079389,-1.704712757,2.89140436,2.022613753,3.863704903,2.709559951,-0.664288401,4.400124476,4.222661998,3.38211448,4.889091694,3.293152019,4.741083267,2.392700352,4.745877322,8.443754556
196409,6.916541994,6.010128352,8.600324039,4.482755087,8.457561071,2.757882895,1.641916778,5.221975601,5.503992342,5.303274578,1.709468873,4.268490934,6.957285398,6.400216694,2.93255531,3.004625245,7.057453615,7.013683474,6.689268811,7.767488222,4.435536996,0.249182427,8.487272416,5.30699136,4.846958175
196412,0.005050163,-1.432521506,0.261545427,0.30441531,2.132355966,-0.771028006,2.30296308,2.516897216,-1.520153223,-1.468278721,4.989455852,4.861880103,1.327647573,-0.045183658,1.950490939,2.846274216,2.79314421,-0.979884348,1.351101009,-2.146740534,2.23791552,2.049209659,0.89932447,-2.024441697,-2.611417925
196503,11.82751632,9.868545091,11.09523629,13.22230967,16.16271682,13.60297175,8.754299615,10.55937639,11.1122283,10.96670503,8.986811038,11.08896603,9.819887363,10.70604446,11.35079299,7.484636949,7.401184941,8.901963137,8.955626082,11.69809468,3.511671227,-0.634910977,1.493680466,2.545599391,2.671015953
196506,-9.983615524,-8.597482874,-5.854068623,-4.68423253,-6.606466587,-9.247891552,-4.740664089,-6.2153373,-4.335153038,-5.655183869,-4.740012557,-6.083595996,-5.90399304,-6.280049021,-2.723575696,-4.78675593,-4.217351843,-4.76765588,-4.995444389,-9.652601155,-0.763232929,-0.873417136,-3.198777625,-2.11373705,-4.83782377
196509,8.671268021,16.17517481,10.33634301,10.36390427,11.85790476,17.29051616,9.290781667,11.40706713,13.63320206,11.7396028,12.45655478,14.50678575,13.04045802,13.87004007,15.98727482,10.93392375,11.2491566,11.09064856,8.917001562,14.60804986,8.953463094,3.664162377,8.054362147,8.739088361,11.07424642
196512,16.80259891,25.19496265,11.15470123,18.6046188,22.05647741,9.937891033,17.74342721,13.02068684,13.7712222,17.72689171,11.2164872,9.812503575,15.73638944,10.26692038,13.96673239,9.388120035,7.504777742,8.122341481,10.17239092,19.90199446,3.864011358,-1.791778447,5.659959951,5.96891359,6.128788211
196603,13.23409096,12.142566,7.893828831,13.70809438,14.68396758,10.18761476,9.281969253,4.650554639,1.286647162,8.445268229,2.191324043,-0.176629286,4.825106254,3.560342141,5.041966658,2.992253761,-0.956226192,2.145848446,2.296207978,4.836496982,-3.142799525,-6.209344605,-1.084259888,-1.143148231,-3.191814696
196606,-3.742123367,-9.567202802,-4.103397241,-3.101478675,-8.02050097,-6.058055561,-5.014960493,-5.461006249,-3.730394596,-0.94406242,-2.338211834,-3.770414488,-2.187240614,-6.974951659,-7.94122886,-2.057652745,-3.148613088,-3.478991846,-1.146007244,-10.52874968,-4.12097418,-3.515668394,-4.233236144,-2.404455653,-4.230626138
196609,-15.61495747,-13.70592378,-13.70027671,-12.74634963,-12.44525539,-17.06466987,-11.44358239,-12.05233081,-12.8283113,-14.24122176,-13.54596115,-14.39972804,-8.181507648,-10.83502898,-11.07897855,-11.09866162,-8.784825669,-10.92652693,-12.39682417,-11.89084752,-9.947288225,-9.20487116,-5.834013997,-5.07364182,-10.65214975
196612,3.935441711,1.273955264,2.49581883,2.099223481,2.359920194,6.823800441,5.760524305,7.543378718,4.546763053,3.186475106,10.71135585,12.06648828,4.891226595,13.19972293,1.882333774,12.18448638,8.776261311,7.049631577,9.69840879,4.740423978,5.789501782,7.718428099,7.988907845,4.606045097,5.235483304
196703,38.64607248,34.38422243,32.12989032,35.48151697,30.89924645,29.05432768,27.13423508,27.6713477,29.17469999,30.12487031,25.96960686,23.09476262,19.67919846,23.53256904,20.05991919,19.51657216,10.78787435,17.05869549,17.26177085,20.56664445,14.90634041,11.14121812,7.32947832,11.9217662,18.24679692
196706,23.89065924,14.80644174,15.50248579,15.54440143,13.39554017,12.31529926,11.85672869,12.90064546,10.69284452,5.618892085,7.804454794,10.8476424,5.284152849,10.50830111,4.258455053,7.528422765,4.798447081,5.592974615,9.2759006,8.408123462,2.278840926,-1.094614736,-2.383395129,2.602926844,1.073292926
196709,21.31672837,21.5248775,19.58988842,16.03623671,19.72920373,10.27120554,11.52857283,17.94762212,16.03893491,13.01947471,7.966847616,7.622675097,10.39416942,13.63635644,14.08582069,7.715584444,5.240571987,6.719057161,12.38476721,13.62322876,7.792635777,7.843939772,3.830799111,8.076274099,8.149398118
196712,13.900676,9.932818338,5.467378333,6.467804405,5.982973657,12.75285159,4.536574539,13.21840296,4.006473731,3.7180732,6.726703097,5.38558968,2.388086836,1.550955293,4.052204008,0.138045873,-2.54005086,-0.989258844,1.879712851,-2.441870663,3.034992526,-0.821142512,-0.347077146,-1.435020712,-3.846721422
196803,-8.685629567,-4.939610528,-2.579279867,-5.814273991,-0.062972138,-11.52095049,-9.903599856,-9.253395381,-3.743695134,-3.812150681,-11.57164257,-4.986823677,-6.053330686,-2.213822248,-2.21711595,-12.48918085,-3.490049144,-6.710775191,-4.87817327,-4.510433594,-6.295437975,-9.199790902,-1.817441444,-7.148962705,-3.77009771
196806,33.17340152,32.33235643,30.81123548,32.6917086,29.5845422,31.64604257,24.2147994,25.91861782,22.33613474,21.3093907,23.82962963,21.34844682,17.58797294,17.7886555,28.11393504,17.79494028,16.80912388,15.96254964,19.28349158,16.0021619,13.15918842,9.426072223,6.753556716,11.77276337,13.79741406
196809,6.529904879,9.502655711,7.943023786,8.611665539,12.29484971,-0.872327578,5.355477946,8.769257025,7.48931213,13.47448631,4.126931642,6.066339099,2.46556535,7.708517209,11.44444514,2.731869531,3.504025186,2.351878683,7.627049803,6.753280837,-2.287390931,4.98513699,6.5296189,6.962361211,12.71211936
196812,8.82039487,10.19221522,8.73494174,7.018712887,9.306114347,9.633096915,10.53200175,8.720291224,8.12043848,3.105824771,5.478899429,5.495252288,9.85501544,12.82254475,5.489981982,2.533211837,3.61075806,5.218393142,6.50336406,10.46968954,-1.160526236,0.577610677,4.304466654,4.706968135,1.812220378
196903,-10.11377134,-10.46266552,-7.629973407,-6.125727443,-7.850494873,-9.78669923,-7.543127695,-4.362534787,-5.584197154,-1.815269522,-10.34160018,-7.048938256,-5.757426291,-5.796720615,-4.378853,-6.000696751,-9.278166984,-2.602342543,-5.905902658,-4.282146443,-1.436781195,-0.729374565,-0.778230435,-3.09922147,-0.022125159
196906,-12.86071963,-12.64649432,-11.71237302,-9.706587039,-11.85225729,-12.56035134,-11.52080644,-9.06852039,-10.48649474,-6.322087707,-8.167489341,-9.176689268,-9.724543214,-6.595185736,-10.34268594,-4.574502588,-7.357159037,-5.573034232,-7.975486668,-9.14436414,1.575827823,-5.216888338,-5.747036776,-2.448745894,-7.114126805
196909,-11.27450073,-11.87214051,-11.1946634,-9.563167782,-8.688331227,-2.810473148,-4.859938181,-6.431164302,-4.295631905,-7.256473644,-1.114472174,-2.373617453,-1.499344261,-5.741749012,-5.957834943,3.239492124,-4.536833173,-5.066041954,-5.491542813,-8.700185842,2.186648067,-3.791709476,-5.171660215,-9.542216648,-8.206139794
196912,-4.102476256,-3.396435268,-3.61782939,-6.901630803,-9.845995438,2.90756946,-3.815925143,-4.419374863,-5.544487076,-4.830852375,0.698988837,0.244288539,-3.959266931,-0.074024821,-4.18676587,7.093655691,-1.289443279,2.767820261,-1.286239521,-4.990370713,5.494720671,-0.201404461,-0.915562633,-4.174371304,-3.579180975
